name_artist,id_artist,score,id_track,name_track,release_date,running_date,difference_days
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,2,6ztGoM8kl78RQfsrRyfgnz,LIGAMENTS,2025-10-17,13-11-2025,27
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6IYjjeMhAlpLK9e1UoIqv8,DES SAISONS DES SAISONS,2025-06-20,13-11-2025,146
Kimé,5nSGxqZnLN1PCZvURQgddS,1,6oqYMjiKDn2Fyup9dku7EC,Tombeau=GLP,2025-04-18,13-11-2025,209
Baby Neelou,5bpO0XTVIGNUnClzfHHQUz,1,33x4tpd7bt3Pbcl2N6uOOx,Distingué,2025-09-10,13-11-2025,64
Bricksy & 3g,43y4CGNp5oOXqIn2FToObQ,1,6oQnTsQ0SuUpoz1l2zW36b,Akai,2024-02-22,13-11-2025,630
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,7ln0FIA1VKUootfcHf8gfX,CABREL,2025-06-27,13-11-2025,139
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,3jEwgYwOQ9PtB1petiuMDN,EN CENDRE,2025-07-04,13-11-2025,132
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,38TQh8FU5cPWdZKWsM2mcn,LE VENT ET LA GRÊLE,2025-04-04,13-11-2025,223
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,430SE21HMSTYEaM0PrKibC,POURQUOI,2025-04-04,13-11-2025,223
YZAELAMALICE,512qiVQLBrpDOxDOndiQ0b,1,0oC0fKaN87X4g4TGDyOQ4D,BOSSE,2025-03-21,13-11-2025,237
Le Crime,00edlcHg3ILdHtrYL54bxX,1,3zs1RJzrhgt0JsNsPopubX,Ballon D'or,2025-10-24,13-11-2025,20
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,4w7bTdhdeHyeyZ529CkUX3,LA LISTE,2025-10-17,13-11-2025,27
Floki,6hMQQUxaLq1PudsWmTJ1rS,1,00gzgZruaMM4zAOtKI0FLf,Tears In My Cup,2025-05-23,13-11-2025,174
Ayvee,0abpwgWh43SsFPq3uVRAae,1,31FUQGcDdHusmOwxJ4kTQe,Away,2025-10-30,13-11-2025,14
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,6pmfynYBVeCrU70iJRwBrS,LA BRISE,2025-10-17,13-11-2025,27
MD,3vGHfbHg1b5XKBiHFVyPHT,1,5dfjTc0uMkVRs0snmY7RLj,G MAL AU CRANE,2024-08-13,13-11-2025,457
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3SxfnStF2pX0c6JVlWhozh,L'ARRET DE PLUS,2025-10-17,13-11-2025,27
8ruki,0ATaMBIaHwtM6LZpQam5r2,1,1iaH8oHZfFGt8Nz4scYFao,ferme la,2025-10-15,13-11-2025,29
Broco,39O7q1BFl6vlpPxWHkAQ3E,1,59xmQLkZehwijNo8E1UEba,RYUK,2025-06-27,13-11-2025,139
ABK,239uuSvoJuZuY7rxloaFWu,1,4YIgzqmLh97CiMptXbqxnJ,J'ai mal,2025-10-17,13-11-2025,27
ABK,239uuSvoJuZuY7rxloaFWu,1,0hhZS2gdYkKOJGOSoXCxTi,Roro & Diamant,2025-08-15,13-11-2025,90
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,5rlP22szwzZphfH9C2sIea,NEON SPOTLIGHT,2024-01-05,13-11-2025,678
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,2pNwUB4AmwqMwuMTlqOYdU,UTOPIE47,2025-10-17,13-11-2025,27
Ko$hi,0ZId8V9QF1QPKlYu3ip00S,1,3LlZMuLHObXMahDIsnOZIt,POSE TOI ET ECOUTE,2025-10-17,13-11-2025,27
seymoX,5DMxoLtkZeXlWMNaJJITPq,1,7aBrWxJqiwZ6ajwCQVlExp,TAM-TAM,2025-08-01,13-11-2025,104
Lil Euphon,6XHOEXZfY8tO1SR4y1b35h,1,4DL1BlOHHgVigKuftWih3n,Sous Drogues Je Suis,2025-10-24,13-11-2025,20
Kech,0z2QBpoVY54PI0DzPEUgDK,1,0AaXNeuwlLBkRrymtuW2cV,J'écoute pas,2024-08-02,13-11-2025,468
Kimé,5nSGxqZnLN1PCZvURQgddS,1,1RvSRtjiyAe0iOnmNcADRi,ballon noir,2025-07-18,13-11-2025,118
ABK,239uuSvoJuZuY7rxloaFWu,1,09OYZos3wQJjJ3pKQKBjD2,2 fois pire,2025-06-28,13-11-2025,138
